size;time
500;12625
600;13500
700;16084
800;17375
900;20500
1000;32625
1100;27583
1200;31833
1300;32208
1400;33750
1500;40250
1600;36833
1700;40541
1800;43750
1900;56333
2000;56667
2100;77958
2200;59917
2300;62209
2400;86708
2500;64500
2600;69250
2700;74459
2800;80208
2900;75000
3000;79166
3100;79958
3200;79333
3300;84875
3400;81167
3500;85333
3600;89625
3700;99292
3800;107209
3900;117417
4000;110833
4100;110667
4200;113167
4300;115416
4400;118000
4500;120208
4600;119625
4700;124959
4800;131167
4900;131959
5000;129625
5100;130666
5200;198208
5300;134042
5400;135291
5500;136042
5600;138042
5700;139292
5800;142541
5900;145458
6000;149708
6100;149208
6200;151209
6300;156833
6400;155542
6500;165125
6600;166333
6700;169167
6800;163792
6900;166209
7000;203625
7100;169833
7200;173833
7300;180709
7400;192417
7500;199041
7600;202750
7700;206584
7800;209667
7900;210292
8000;211792
8100;209875
8200;211875
8300;209666
8400;214667
8500;210667
8600;215792
8700;213666
8800;219083
8900;219625
9000;223750
9100;219958
9200;219208
9300;226125
9400;225041
9500;235416
9600;228292
9700;226625
9800;229000
9900;230625
10000;229750
