size;time
500;8667
600;12917
700;17625
800;19750
900;21791
1000;28917
1100;25208
1200;25459
1300;27458
1400;29375
1500;31875
1600;33333
1700;36666
1800;37959
1900;40875
2000;41458
2100;59208
2200;61541
2300;63459
2400;67541
2500;68250
2600;73708
2700;68750
2800;69042
2900;70417
3000;84459
3100;86042
3200;88583
3300;93666
3400;96584
3500;99417
3600;89083
3700;91042
3800;93875
3900;96375
4000;98333
4100;101792
4200;102917
4300;107625
4400;110458
4500;109667
4600;120708
4700;118083
4800;120750
4900;122000
5000;110333
5100;113041
5200;116125
5300;118417
5400;118375
5500;88041
5600;125125
5700;126875
5800;126416
5900;132125
6000;133500
6100;136458
6200;124917
6300;125458
6400;130417
6500;133042
6600;133375
6700;135875
6800;136875
6900;139584
7000;141459
7100;143209
7200;144208
7300;145250
7400;148209
7500;138959
7600;141917
7700;141709
7800;144750
7900;147167
8000;150125
8100;150917
8200;155667
8300;185083
8400;174459
8500;173958
8600;178917
8700;180917
8800;182833
8900;182875
9000;184959
9100;184250
9200;191125
9300;193458
9400;194791
9500;197042
9600;197625
9700;187000
9800;189708
9900;189917
10000;199250
