size;time
500;20500
600;18792
700;20833
800;24542
900;26084
1000;39500
1100;36250
1200;37417
1300;45625
1400;42542
1500;46500
1600;48000
1700;53708
1800;54458
1900;67583
2000;70209
2100;73667
2200;82708
2300;104917
2400;93125
2500;82166
2600;126667
2700;89541
2800;115166
2900;120333
3000;189208
3100;102250
3200;108459
3300;101333
3400;105000
3500;104042
3600;111916
3700;126916
3800;130375
3900;138667
4000;137250
4100;146958
4200;143083
4300;143209
4400;146208
4500;150291
4600;148209
4700;158333
4800;203541
4900;167459
5000;165458
5100;160083
5200;167208
5300;167209
5400;168042
5500;168291
5600;168958
5700;177125
5800;180458
5900;177625
6000;181750
6100;183667
6200;188792
6300;192583
6400;194417
6500;199916
6600;200666
6700;201791
6800;207167
6900;199500
7000;204500
7100;223375
7200;215541
7300;226292
7400;241625
7500;243625
7600;249792
7700;253250
7800;258500
7900;258375
8000;262292
8100;259875
8200;267167
8300;261125
8400;266667
8500;275000
8600;265833
8700;266333
8800;274208
8900;274708
9000;278083
9100;271958
9200;275833
9300;277375
9400;287875
9500;278750
9600;281209
9700;280375
9800;290167
9900;287459
10000;284500
