size;time
500;27542
600;27166
700;32042
800;37000
900;42541
1000;48500
1100;54334
1200;53000
1300;56375
1400;60875
1500;66250
1600;73584
1700;80542
1800;88250
1900;94791
2000;99208
2100;95708
2200;100667
2300;106458
2400;106791
2500;116875
2600;126250
2700;129667
2800;111125
2900;119417
3000;123750
3100;150417
3200;151583
3300;159625
3400;164833
3500;171416
3600;173083
3700;159084
3800;163500
3900;168250
4000;170583
4100;184041
4200;180875
4300;192875
4400;191500
4500;198875
4600;205125
4700;211250
4800;215917
4900;222542
5000;225541
5100;206334
5200;209791
5300;216458
5400;219709
5500;167167
5600;164375
5700;238041
5800;241916
5900;249583
6000;249791
6100;259375
6200;263875
6300;240792
6400;247000
6500;250125
6600;255667
6700;266500
6800;264750
6900;276000
7000;276292
7100;283458
7200;286750
7300;297208
7400;298542
7500;303000
7600;283542
7700;291375
7800;291875
7900;298417
8000;301209
8100;308292
8200;316250
8300;289917
8400;273167
8500;272542
8600;276417
8700;280333
8800;283292
8900;290750
9000;290125
9100;294292
9200;297250
9300;301291
9400;305500
9500;308459
9600;310000
9700;296459
9800;299125
9900;303000
10000;375750
