size;time
500;10625
600;11417
700;15209
800;13709
900;14959
1000;21000
1100;21625
1200;23500
1300;28250
1400;26500
1500;28375
1600;29583
1700;31458
1800;32166
1900;43125
2000;45125
2100;45667
2200;45792
2300;49750
2400;50417
2500;50792
2600;53917
2700;56375
2800;57166
2900;59167
3000;339333
3100;64875
3200;56750
3300;57458
3400;61875
3500;64250
3600;74791
3700;73791
3800;83042
3900;90333
4000;88792
4100;79000
4200;84750
4300;88042
4400;87458
4500;92083
4600;83000
4700;97083
4800;104416
4900;99625
5000;93625
5100;97708
5200;105541
5300;103042
5400;102250
5500;106125
5600;98791
5700;107291
5800;99042
5900;110375
6000;113917
6100;104708
6200;101625
6300;109083
6400;103791
6500;123583
6600;122916
6700;124875
6800;122917
6900;104666
7000;125250
7100;131250
7200;113583
7300;128209
7400;148542
7500;148333
7600;141542
7700;163250
7800;148042
7900;150750
8000;164375
8100;160667
8200;151709
8300;140000
8400;160166
8500;162917
8600;166083
8700;164917
8800;168458
8900;165458
9000;168333
9100;160625
9200;152042
9300;152167
9400;171958
9500;159875
9600;170041
9700;168875
9800;177375
9900;174209
10000;169416
