size;time
500;31375
600;14709
700;18917
800;25042
900;29416
1000;34875
1100;40500
1200;39375
1300;45792
1400;52000
1500;59541
1600;67750
1700;74834
1800;82750
1900;91500
2000;99875
2100;48333
2200;49750
2300;51333
2400;56750
2500;58541
2600;59334
2700;66791
2800;57292
2900;63500
3000;74542
3100;78333
3200;81500
3300;89584
3400;93041
3500;96125
3600;97375
3700;94583
3800;96041
3900;98375
4000;103375
4100;106667
4200;112041
4300;117375
4400;121209
4500;131125
4600;138209
4700;136292
4800;142625
4900;149125
5000;153291
5100;141917
5200;144875
5300;148709
5400;161917
5500;116208
5600;159959
5700;174458
5800;178125
5900;184250
6000;189583
6100;195333
6200;187417
6300;187584
6400;189917
6500;197709
6600;201542
6700;207834
6800;214750
6900;224959
7000;222375
7100;227958
7200;240208
7300;242041
7400;246667
7500;231875
7600;236500
7700;241584
7800;245917
7900;256000
8000;271875
8100;278500
8200;254625
8300;124291
8400;118500
8500;118625
8600;118541
8700;132291
8800;132459
8900;129709
9000;132042
9100;128750
9200;138084
9300;137667
9400;126584
9500;152125
9600;142542
9700;142375
9800;135500
9900;135750
10000;203125
