size;time
500;5917
600;7875
700;8250
800;9167
900;10208
1000;11583
1100;12750
1200;13709
1300;15167
1400;20500
1500;25417
1600;48959
1700;49500
1800;57750
1900;56458
2000;60833
2100;60833
2200;57042
2300;59334
2400;61334
2500;66458
2600;70583
2700;47833
2800;53792
2900;49750
3000;61917
3100;53959
3200;51833
3300;82541
3400;85083
3500;87500
3600;84791
3700;88792
3800;83334
3900;102417
4000;89292
4100;87166
4200;92500
4300;111709
4400;96291
4500;97542
4600;97125
4700;91084
4800;93750
4900;111042
5000;102625
5100;103625
5200;107084
5300;105125
5400;101417
5500;133375
5600;104667
5700;104667
5800;103292
5900;103625
6000;101834
6100;103709
6200;120917
6300;110042
6400;111334
6500;112667
6600;110917
6700;108708
6800;111875
6900;117792
7000;120250
7100;113125
7200;119500
7300;112834
7400;112500
7500;118417
7600;120500
7700;116958
7800;118584
7900;121709
8000;120750
8100;121750
8200;124208
8300;119333
8400;121750
8500;119125
8600;122542
8700;123291
8800;125750
8900;128833
9000;123666
9100;124458
9200;125792
9300;121875
9400;124791
9500;125334
9600;125542
9700;118209
9800;119417
9900;105458
10000;106666
