size;time
500;11417
600;16958
700;15875
800;18250
900;20125
1000;22209
1100;24625
1200;27792
1300;28583
1400;40667
1500;62209
1600;110375
1700;98667
1800;105125
1900;113291
2000;113792
2100;120542
2200;108875
2300;111375
2400;117334
2500;123833
2600;142583
2700;134500
2800;93416
2900;92416
3000;94375
3100;97625
3200;101458
3300;153875
3400;151750
3500;157167
3600;162584
3700;167209
3800;149083
3900;178333
4000;162291
4100;165500
4200;177000
4300;169792
4400;172917
4500;178250
4600;168875
4700;170208
4800;172375
4900;187792
5000;185917
5100;189042
5200;196625
5300;196500
5400;188375
5500;191584
5600;207833
5700;196583
5800;197083
5900;191792
6000;186667
6100;195084
6200;202166
6300;199875
6400;210875
6500;206708
6600;198500
6700;199083
6800;207459
6900;209833
7000;211750
7100;291291
7200;209500
7300;210584
7400;220500
7500;215292
7600;231250
7700;217458
7800;215209
7900;234625
8000;222291
8100;220125
8200;220875
8300;233500
8400;229792
8500;232875
8600;229542
8700;234375
8800;228208
8900;261250
9000;230042
9100;231750
9200;233500
9300;238250
9400;236208
9500;262958
9600;235333
9700;241500
9800;237708
9900;227708
10000;234709
