size;time
500;14042
600;12917
700;15875
800;17833
900;20750
1000;23791
1100;26667
1200;33250
1300;31375
1400;33584
1500;78416
1600;97833
1700;105167
1800;112875
1900;123542
2000;126083
2100;137584
2200;119333
2300;130583
2400;138375
2500;140208
2600;174083
2700;175042
2800;104875
2900;110417
3000;111000
3100;112875
3200;116417
3300;171291
3400;175583
3500;193750
3600;188125
3700;195250
3800;202542
3900;206667
4000;189167
4100;200583
4200;198250
4300;205375
4400;227042
4500;211584
4600;220541
4700;206875
4800;209916
4900;250792
5000;225500
5100;238500
5200;231000
5300;233625
5400;230083
5500;226417
5600;235666
5700;238125
5800;237041
5900;242375
6000;235750
6100;237542
6200;245209
6300;338041
6400;250542
6500;266792
6600;262583
6700;252042
6800;258250
6900;287917
7000;267917
7100;276375
7200;260458
7300;264458
7400;268750
7500;271625
7600;268334
7700;273084
7800;274416
7900;271000
8000;284792
8100;281125
8200;295916
8300;296500
8400;297792
8500;304458
8600;303375
8700;307125
8800;295875
8900;302250
9000;298250
9100;296333
9200;311875
9300;304875
9400;309416
9500;315250
9600;317791
9700;324250
9800;322084
9900;328709
10000;338542
