size;time
500;19375
600;19250
700;23250
800;26209
900;29209
1000;32417
1100;36208
1200;45083
1300;43750
1400;48041
1500;66167
1600;125791
1700;150875
1800;160417
1900;166583
2000;179750
2100;188666
2200;165333
2300;180208
2400;179458
2500;188292
2600;243833
2700;215542
2800;146000
2900;153416
3000;148458
3100;161042
3200;160500
3300;189834
3400;250416
3500;248208
3600;253459
3700;271208
3800;264791
3900;282291
4000;261333
4100;267209
4200;267792
4300;283292
4400;296792
4500;292125
4600;297708
4700;276584
4800;283959
4900;290333
5000;302958
5100;306834
5200;307583
5300;313750
5400;326208
5500;301083
5600;327209
5700;311959
5800;318083
5900;327500
6000;312125
6100;315875
6200;321584
6300;322542
6400;334375
6500;342375
6600;342042
6700;331000
6800;340750
6900;366000
7000;359958
7100;345250
7200;344417
7300;342125
7400;363459
7500;373041
7600;364583
7700;377291
7800;356000
7900;367750
8000;368083
8100;358333
8200;372375
8300;399417
8400;391500
8500;397875
8600;388666
8700;384834
8800;400458
8900;401375
9000;382041
9100;394584
9200;407333
9300;401875
9400;418125
9500;451000
9600;420417
9700;419083
9800;415291
9900;420208
10000;436458
