size;time
500;4166
600;6083
700;6083
800;6625
900;7291
1000;7708
1100;8792
1200;9916
1300;10666
1400;11541
1500;35458
1600;35000
1700;37541
1800;36583
1900;39000
2000;44292
2100;42917
2200;38584
2300;41708
2400;42459
2500;45500
2600;63167
2700;59791
2800;36584
2900;32250
3000;35334
3100;37375
3200;39042
3300;54667
3400;57042
3500;56958
3600;59750
3700;59750
3800;52917
3900;73375
4000;65625
4100;60666
4200;64417
4300;64708
4400;66208
4500;64834
4600;67042
4700;67417
4800;61542
4900;72208
5000;76625
5100;77459
5200;72917
5300;71833
5400;68292
5500;77333
5600;71042
5700;70250
5800;78583
5900;69375
6000;70625
6100;79291
6200;71708
6300;77917
6400;76208
6500;78958
6600;73125
6700;78083
6800;75625
6900;81792
7000;77250
7100;75667
7200;82625
7300;81584
7400;82416
7500;87166
7600;82625
7700;87250
7800;81667
7900;86916
8000;88958
8100;87875
8200;104209
8300;106833
8400;90375
8500;91875
8600;90917
8700;90459
8800;102750
8900;93042
9000;93000
9100;96166
9200;90792
9300;90708
9400;93458
9500;99042
9600;96625
9700;95375
9800;95917
9900;100000
10000;108584
