size;time
500;9958
600;16542
700;14083
800;16083
900;17625
1000;19875
1100;22458
1200;23584
1300;25125
1400;27750
1500;88583
1600;81125
1700;87958
1800;89083
1900;93125
2000;96208
2100;102875
2200;91708
2300;95958
2400;99750
2500;137000
2600;120208
2700;117042
2800;77417
2900;77292
3000;79167
3100;83125
3200;85666
3300;124458
3400;131750
3500;131791
3600;136542
3700;139375
3800;132625
3900;158375
4000;140292
4100;139125
4200;143583
4300;143208
4400;151042
4500;151500
4600;155209
4700;150959
4800;147708
4900;154375
5000;158584
5100;159750
5200;160542
5300;161166
5400;150542
5500;157375
5600;160334
5700;161417
5800;164042
5900;164542
6000;162000
6100;164167
6200;163958
6300;173333
6400;172500
6500;174000
6600;167708
6700;165959
6800;173167
6900;173833
7000;177791
7100;175417
7200;176416
7300;175959
7400;178042
7500;180125
7600;183084
7700;182708
7800;188792
7900;184708
8000;192375
8100;183917
8200;189584
8300;203250
8400;199625
8500;197417
8600;197250
8700;199250
8800;197709
8900;196250
9000;196833
9100;202333
9200;206500
9300;198417
9400;204084
9500;214584
9600;202334
9700;209917
9800;211250
9900;210250
10000;222000
